author	epoche	genre	title	textPath	label	n_sent	n_tok	n_tok_no_punct	n_adja	n_nn	n_v	n_vv	n_vfin	n_vvfin	n_konj_vf	n_konj_vvf	n_acc	n_dat	n_acc_doppelt	n_dat_doppelt
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Rheinmärchen/Das Märchen vom Schneider Siebentot auf einen Schlag	Literatur-Brentano,-Clemens/tg563.txt	not defined	583	11137	9554	357	1699	1749	1284	1271	844	33	8	204	362	148	145
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Rheinmärchen/Das Märchen von dem Hause Starenberg und den Ahnen des Müllers Radlauf	Literatur-Brentano,-Clemens/tg561.txt	not defined	2251	44682	38201	1783	7345	6521	4858	4848	3293	70	18	590	1480	421	632
Brentano, Clemens	Romantik	Märchen	Märchen-Sammlung/Rheinmärchen/Das Märchen von dem Rhein und dem Müller Radlauf	Literatur-Brentano,-Clemens/tg560.txt	not defined	1714	34794	29683	1400	5482	5152	3779	3731	2463	107	18	501	1103	373	435
Brentano, Clemens	Romantik	Roman	Roman/Godwi oder Das steinerne Bild der Mutter	Literatur-Brentano,-Clemens/tg454.txt	Romantik_Kern	6696	156838	132065	6435	23216	23711	15772	17031	9854	615	67	1819	4724	1196	2199
Chamisso, Adelbert von	Romantik	Erzählung	Erzählungen/Adelberts Fabel	Literatur-Chamisso,-Adelbert-von/tg311.txt	not defined	107	2577	2185	124	399	366	288	280	206	1	0	36	110	22	54
Chamisso, Adelbert von	Romantik	Erzählung	Erzählungen/Peter Schlemihls wundersame Geschichte	Literatur-Chamisso,-Adelbert-von/tg312.txt	not defined	1212	25674	21290	1106	3562	3861	2790	2612	1670	83	13	364	843	234	374
Droste-Hülshoff, Annette von	Romantik	prose	Erzählungen/Bei uns zulande auf dem Lande	Literatur-Droste-Huelshoff,-Annette-von/tg262.txt	not defined	361	11949	10212	712	1926	1614	1100	1084	627	43	1	124	393	84	176
Droste-Hülshoff, Annette von	Romantik	prose	Erzählungen/Die Judenbuche	Literatur-Droste-Huelshoff,-Annette-von/tg257.txt	not defined	1277	20118	16170	753	2982	3011	2103	2143	1321	35	5	267	599	159	301
Droste-Hülshoff, Annette von	Romantik	prose	Erzählungen/Ledwina	Literatur-Droste-Huelshoff,-Annette-von/tg256.txt	not defined	1057	22682	18424	1016	2838	3285	2335	2450	1583	80	11	260	586	172	267
Droste-Hülshoff, Annette von	Romantik	prose	Erzählungen/Westfälische Schilderungen	Literatur-Droste-Huelshoff,-Annette-von/tg258.txt	not defined	304	13461	11298	920	2571	1467	1066	917	560	27	1	143	447	91	197
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Agave	Literatur-Ebner-Eschenbach,-Marie-von/tg126.txt	not defined	3242	51682	42214	2086	7477	8077	5820	5674	3680	189	31	576	1663	400	733
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Das Schädliche	Literatur-Ebner-Eschenbach,-Marie-von/tg123.txt	not defined	1601	24304	19997	951	3328	3895	2686	2801	1722	95	12	275	735	195	345
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Der gute Mond	Literatur-Ebner-Eschenbach,-Marie-von/tg120.txt	not defined	573	10653	8725	380	1443	1648	1090	1147	658	50	6	105	320	75	116
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Der Herr Hofrat	Literatur-Ebner-Eschenbach,-Marie-von/tg132.txt	not defined	1144	17777	14422	829	2625	2658	1871	1901	1190	54	7	181	526	134	243
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Der Kreisphysikus	Literatur-Ebner-Eschenbach,-Marie-von/tg114.txt	not defined	1542	25850	21147	1158	4341	3708	2694	2607	1701	89	17	305	847	204	421
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Der Vorzugsschüler	Literatur-Ebner-Eschenbach,-Marie-von/tg125.txt	not defined	1020	15647	12856	599	2290	2536	1741	1764	1080	91	15	201	441	144	198
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Die Freiherren von Gemperlein	Literatur-Ebner-Eschenbach,-Marie-von/tg104.txt	not defined	1037	18258	14730	808	2733	2567	1948	1887	1333	68	13	240	597	152	282
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Die Poesie des Unbewussten	Literatur-Ebner-Eschenbach,-Marie-von/tg112.txt	not defined	321	4524	3595	150	500	758	484	528	281	23	1	28	101	22	38
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Ein Spätgeborner	Literatur-Ebner-Eschenbach,-Marie-von/tg95.txt	not defined	1216	19388	15745	826	2943	2886	2164	2070	1424	60	13	240	650	174	315
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Er laßt die Hand küssen	Literatur-Ebner-Eschenbach,-Marie-von/tg121.txt	not defined	336	7343	6113	320	1235	1086	787	784	526	26	3	77	245	60	108
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Ihr Traum	Literatur-Ebner-Eschenbach,-Marie-von/tg122.txt	not defined	699	11779	9525	502	1706	1707	1235	1241	818	38	8	125	383	83	169
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Krambambuli	Literatur-Ebner-Eschenbach,-Marie-von/tg113.txt	not defined	232	4572	3810	186	745	681	511	477	336	19	3	66	177	42	75
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Maslans Frau	Literatur-Ebner-Eschenbach,-Marie-von/tg124.txt	not defined	940	14195	11456	527	2002	2310	1532	1564	863	54	14	154	368	109	157
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Nach dem Tode	Literatur-Ebner-Eschenbach,-Marie-von/tg111.txt	not defined	1769	29918	24314	1387	4297	4475	3333	3174	2166	105	17	364	963	255	432
Ebner-Eschenbach, Marie von	Realismus	prose	Romane/Bozena	Literatur-Ebner-Eschenbach,-Marie-von/tg4.txt	not defined	4419	76600	62663	3243	11469	11500	8524	8251	5614	308	42	1006	2463	683	1009
Ebner-Eschenbach, Marie von	Realismus	prose	Romane/Das Gemeindekind	Literatur-Ebner-Eschenbach,-Marie-von/tg51.txt	not defined	4472	78399	63848	2902	11132	12281	8935	8851	5875	260	37	1021	2585	732	1161
Ebner-Eschenbach, Marie von	Realismus	prose	Romane/Ein kleiner Roman	Literatur-Ebner-Eschenbach,-Marie-von/tg40.txt	not defined	1617	30981	26364	1217	4459	5024	3653	3504	2300	107	20	416	1074	265	477
Ebner-Eschenbach, Marie von	Realismus	prose	Romane/Lotti, die Uhrmacherin	Literatur-Ebner-Eschenbach,-Marie-von/tg25.txt	not defined	2432	41538	33518	1806	5498	6381	4516	4411	2781	185	30	463	1222	312	532
Ebner-Eschenbach, Marie von	Realismus	prose	Romane/Unsühnbar	Literatur-Ebner-Eschenbach,-Marie-von/tg72.txt	not defined	4344	71418	57950	3125	10299	10767	7737	7658	5017	237	35	827	2316	563	1004
Eichendorff, Joseph von	not defined	Roman	Dichter und ihre Gesellen	droro_kern/Eichendorff_Joseph_von_Dichter_und_Gesellen.txt	Romantik_Kern	3695	90299	75616	4925	14083	11742	9106	8929	6474	166	50	1392	3433	951	1735
Eichendorff, Joseph von	Romantik	Erzählung	Erzählungen/Auch ich war in Arkadien	Literatur-Eichendorff,-Joseph-von/tg596.txt	not defined	296	7027	6004	378	1129	921	708	681	495	20	5	113	289	73	122
Eichendorff, Joseph von	Romantik	Erzählung	Erzählungen/Aus dem Leben eines Taugenichts	Literatur-Eichendorff,-Joseph-von/tg584.txt	not defined	1481	36545	31125	1720	5057	4895	3698	3887	2761	127	31	586	1450	441	708
Eichendorff, Joseph von	Romantik	Erzählung	Erzählungen/Das Marmorbild	Literatur-Eichendorff,-Joseph-von/tg583.txt	not defined	704	14268	12213	958	2187	1790	1443	1327	1009	28	7	211	547	152	294
Eichendorff, Joseph von	Romantik	Erzählung	Erzählungen/Das Schloß Dürande	Literatur-Eichendorff,-Joseph-von/tg597.txt	not defined	751	16293	13626	717	2520	2221	1745	1726	1288	44	18	265	641	181	330
