author	epoche	genre	title	textPath	label	n_sent	n_tok	n_tok_no_punct	n_adja	n_nn	n_acc	n_dat
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Der gute Mond	Literatur-Ebner-Eschenbach,-Marie-von/tg120.txt	not defined	573	10653	8725	380	1443	105	320
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Der Herr Hofrat	Literatur-Ebner-Eschenbach,-Marie-von/tg132.txt	not defined	1144	17777	14422	829	2625	181	526
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Der Kreisphysikus	Literatur-Ebner-Eschenbach,-Marie-von/tg114.txt	not defined	1542	25850	21147	1158	4341	305	847
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Der Vorzugsschüler	Literatur-Ebner-Eschenbach,-Marie-von/tg125.txt	not defined	1020	15647	12856	599	2290	201	441
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Die Freiherren von Gemperlein	Literatur-Ebner-Eschenbach,-Marie-von/tg104.txt	not defined	1037	18258	14730	808	2733	240	597
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Die Poesie des Unbewussten	Literatur-Ebner-Eschenbach,-Marie-von/tg112.txt	not defined	321	4524	3595	150	500	28	101
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Ein Spätgeborner	Literatur-Ebner-Eschenbach,-Marie-von/tg95.txt	not defined	1216	19388	15745	826	2943	240	650
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Er laßt die Hand küssen	Literatur-Ebner-Eschenbach,-Marie-von/tg121.txt	not defined	336	7343	6113	320	1235	77	245
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Ihr Traum	Literatur-Ebner-Eschenbach,-Marie-von/tg122.txt	not defined	699	11779	9525	502	1706	125	383
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Krambambuli	Literatur-Ebner-Eschenbach,-Marie-von/tg113.txt	not defined	232	4572	3810	186	745	66	177
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Maslans Frau	Literatur-Ebner-Eschenbach,-Marie-von/tg124.txt	not defined	940	14195	11456	527	2002	154	368
Ebner-Eschenbach, Marie von	Realismus	prose	Erzählungen/Nach dem Tode	Literatur-Ebner-Eschenbach,-Marie-von/tg111.txt	not defined	1769	29918	24314	1387	4297	364	963
Ebner-Eschenbach, Marie von	Realismus	prose	Romane/Bozena	Literatur-Ebner-Eschenbach,-Marie-von/tg4.txt	not defined	4419	76600	62663	3243	11469	1006	2463
Ebner-Eschenbach, Marie von	Realismus	prose	Romane/Das Gemeindekind	Literatur-Ebner-Eschenbach,-Marie-von/tg51.txt	not defined	4472	78399	63848	2902	11132	1021	2585
Ebner-Eschenbach, Marie von	Realismus	prose	Romane/Ein kleiner Roman	Literatur-Ebner-Eschenbach,-Marie-von/tg40.txt	not defined	1617	30981	26364	1217	4459	416	1074
Ebner-Eschenbach, Marie von	Realismus	prose	Romane/Lotti, die Uhrmacherin	Literatur-Ebner-Eschenbach,-Marie-von/tg25.txt	not defined	2432	41538	33518	1806	5498	463	1222
Ebner-Eschenbach, Marie von	Realismus	prose	Romane/Unsühnbar	Literatur-Ebner-Eschenbach,-Marie-von/tg72.txt	not defined	4344	71418	57950	3125	10299	827	2316
Eichendorff, Joseph von	not defined	Roman	Dichter und ihre Gesellen	droro_kern/Eichendorff_Joseph_von_Dichter_und_Gesellen.txt	Romantik_Kern	3695	90299	75616	4925	14083	1392	3433
Eichendorff, Joseph von	Romantik	Erzählung	Erzählungen/Auch ich war in Arkadien	Literatur-Eichendorff,-Joseph-von/tg596.txt	not defined	296	7027	6004	378	1129	113	289
Eichendorff, Joseph von	Romantik	Erzählung	Erzählungen/Aus dem Leben eines Taugenichts	Literatur-Eichendorff,-Joseph-von/tg584.txt	not defined	1481	36545	31125	1720	5057	586	1450
Eichendorff, Joseph von	Romantik	Erzählung	Erzählungen/Das Marmorbild	Literatur-Eichendorff,-Joseph-von/tg583.txt	not defined	704	14268	12213	958	2187	211	547
Eichendorff, Joseph von	Romantik	Erzählung	Erzählungen/Das Schloß Dürande	Literatur-Eichendorff,-Joseph-von/tg597.txt	not defined	751	16293	13626	717	2520	265	641
