"entgegenliegenden"	"entgegenliegend"
"Getue"	"Getty"
"düsterm"	"düsterem"
"Schwarzfohren"	"Schwarzfahren"
"anmutsreich<"	"Anmutsreich"
"Besitztumes"	"Besitztums"
"darnach"	"danach"
"heitern"	"heiteren"
"niemal"	"niemals"
"andern"	"anderen"
"Johannens"	"Johannes"
"andern"	"anderen"
"Gerölles"	"Gerölls"
"andern"	"anderen"
"Himmelsmelodieen"	"Himmelsmelodien"
"goldne"	"goldene"
"andern"	"anderen"
"Gebirg"	"Gebirge"
"unsre"	"unsere"
"Preißelbeeren"	"Preiselbeeren"
"hiebei"	"hierbei"
"Fittige"	"Fittiche"
"ward"	"wurde"
"eigne"	"eigene"
"Charfreitage"	"Karfreitage"
"geh"	"gehe"
"heraus!<"	"heraus"
"Charfreitag"	"Karfreitag"
"Baiern"	"Bayern"
"Mutwill"	"Mutwille"
"Gefreuet"	"Gefreut"
"frevlen"	"freveln"
"gedeucht"	"gedeicht"
"fahr"	"fahre"
"Geklippe"	"Gecklippe"
"Gehäge"	"Gehege"
"sehnigten"	"sehnigen"
"Waidtasche"	"Weidtasche"
"andern"	"anderen"
"geradeweg"	"Geradeweg"
"hab"	"habe"
"koseten"	"kosten"
"andern"	"anderen"
"Johannens"	"Johannes"
"gold"	"Gold"
"knieen"	"knien"
"raßle"	"rassle"
"Stirne"	"Stirn"
"unserm"	"unserem"
"andern"	"anderen"
"goldne"	"goldene"
"Kron"	"Krone"
"Lieb"	"Liebe"
"Gelt"	"Geld"
"goldne"	"goldene"
"Kron"	"Krone"
"andern"	"anderen"
"glühete"	"glühte"
"wallete"	"wallte"
"eignen"	"eigenen"
"Stirne"	"Stirn"
"gehobne"	"gehobene"
"nacht"	"Nacht"
"kom"	"komme"
"sichs"	"sich_es"
"behülflich"	"behilflich"
"Vergelben"	"Vergilben"
"Euern"	"Euren"
"unrecht"	"Unrecht"
"hieher"	"hierher"
"Gerölles"	"Gerölls"
"saßet"	"saßt"
"saßet"	"saßt"
"sprachet"	"spracht"
"sahet"	"saht"
"quillt"	"quellt"
"mißfärbiges"	"mißfarbiges"
"entschloßne"	"entschloßene"
"hab"	"habe"
"hab"	"habe"
"willen"	"Willen"
"hieher"	"hierher"
"kamet"	"kamt"
"waret"	"wart"
"gosset"	"gosst"
"zwanget"	"zwangt"
"kamet"	"kamt"
"knieen"	"knien"
"Stirne"	"Stirn"
"eignen"	"eigenen"
"geh"	"gehe"
"hab"	"habe"
"andern"	"anderen"
"andern"	"anderen"
"siehest"	"siehst"
"niederwallten"	"Niederwalten"
"kamest"	"kamst"
"darnach"	"danach"
"trag"	"trage"
"lehre"	"Lehre"
"wär"	"wäre"
"andern"	"anderen"
"Freud"	"Freude"
"Fiber"	"Fieber"
"Stirne"	"Stirn"
"beschloßne"	"beschloßene"
"hochverhrten"	"hochverehrten"
"warest"	"warst"
"Wars"	"War_es"
"Lieb"	"Liebe"
"goldnes"	"goldenes"
"andern"	"anderen"
"weißgeschmolzne"	"weißgeschmolzene"
"andern"	"anderen"
"darnach"	"danach"
"eignen"	"eigenen"
"beginnet"	"beginnt"
"widerprallten"	"wiederprallten"
"andern"	"anderen"
"andern"	"anderen"
"unsrem"	"unserem"
"Kinder<"	"Kinder"
"allgemache"	"allgemach"
"durchbrochner"	"durchbrochener"
"neugebornen"	"neugeborenen"
"Phantasieen"	"Phantasien"
"durcheinandergriffen"	"Durcheinandergriffen"
"goldne"	"goldene"
"unsre"	"unsere"
"gegoßne"	"gegoßene"
"andern"	"anderen"
"goldne"	"goldene"
"Veralterung"	"Alterung"
