author	epoche	genre	title	textPath	label
Franzos, Karl Emil	Realismus	prose	Erzählungen/Leib Weihnachtskuchen und sein Kind	Literatur-Franzos,-Karl-Emil/tg56.txt	not defined
Franzos, Karl Emil	Realismus	prose	Roman/Der Pojaz	Literatur-Franzos,-Karl-Emil/tg4.txt	not defined
Freytag, Gustav	Realismus	prose	Romane/Die Ahnen	Literatur-Freytag,-Gustav/tg134.txt	not defined
Freytag, Gustav	Realismus	prose	Romane/Die verlorene Handschrift	Literatur-Freytag,-Gustav/tg84.txt	not defined
Freytag, Gustav	Realismus	prose	Romane/Soll und Haben	Literatur-Freytag,-Gustav/tg31.txt	not defined
Goethe, Johann Wolfgang	not defined	Roman	Aus meinem Leben. Dichtung und Wahrheit	droro_e2/Goethe_Johann_Wolfgang_Aus_meinem_Leben_Dichtung_und_Wahrheit.txt	Romantik_E2
Goethe, Johann Wolfgang	Klassik	Erzählung	Erzählungen/Briefe aus der Schweiz. Erste Abteilung	Literatur-Goethe,-Johann-Wolfgang-001/tg1651.txt	not defined
Goethe, Johann Wolfgang	Klassik	Erzählung	Erzählungen/Novelle	Literatur-Goethe,-Johann-Wolfgang-001/tg1652.txt	not defined
Goethe, Johann Wolfgang	Klassik	Erzählung	Erzählungen/Unterhaltungen deutscher Ausgewanderten	Literatur-Goethe,-Johann-Wolfgang-001/tg1643.txt	not defined
Goethe, Johann Wolfgang	Klassik	Roman	Romane/Die Leiden des jungen Werther	Literatur-Goethe,-Johann-Wolfgang-001/tg1446.txt	not defined
Goethe, Johann Wolfgang	Klassik	Roman	Romane/Die Wahlverwandtschaften	Literatur-Goethe,-Johann-Wolfgang-001/tg1450.txt	Romantik_E2
Goethe, Johann Wolfgang	Klassik	Roman	Romane/Wilhelm Meisters Lehrjahre	Literatur-Goethe,-Johann-Wolfgang-001/tg1534.txt	Romantik_E2
